,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
207,2022-05-19,0.0,739.0,756.5,718.5,754.5,1346.0,0.0,754.0,DCE.i2305,86400
208,2022-05-20,1.0,755.5,771.5,745.5,771.0,960.0,754.0,923.0,DCE.i2305,86400
209,2022-05-23,2.0,770.0,796.0,767.0,782.0,1626.0,923.0,1516.0,DCE.i2305,86400
210,2022-05-24,3.0,782.0,786.5,745.0,748.0,1762.0,1516.0,2350.0,DCE.i2305,86400
211,2022-05-25,4.0,748.5,775.5,746.0,772.0,2155.0,2350.0,2950.0,DCE.i2305,86400
212,2022-05-26,5.0,771.0,771.0,735.0,757.0,1741.0,2950.0,3293.0,DCE.i2305,86400
213,2022-05-27,6.0,758.0,783.0,754.0,777.0,1841.0,3293.0,3477.0,DCE.i2305,86400
214,2022-05-30,7.0,779.5,796.0,774.0,788.0,1994.0,3477.0,3811.0,DCE.i2305,86400
215,2022-05-31,8.0,789.0,806.0,785.5,796.0,1854.0,3811.0,4162.0,DCE.i2305,86400
216,2022-06-01,9.0,799.5,814.0,794.5,806.0,1424.0,4162.0,4124.0,DCE.i2305,86400
217,2022-06-02,10.0,811.5,834.0,802.5,833.5,2577.0,4124.0,4283.0,DCE.i2305,86400
218,2022-06-06,11.0,836.5,841.0,800.0,825.5,1514.0,4283.0,4536.0,DCE.i2305,86400
219,2022-06-07,12.0,828.5,845.0,825.0,833.0,2936.0,4536.0,5272.0,DCE.i2305,86400
220,2022-06-08,13.0,828.0,846.0,820.0,826.0,1797.0,5272.0,5501.0,DCE.i2305,86400
221,2022-06-09,14.0,828.5,844.5,825.0,830.0,3150.0,5501.0,6386.0,DCE.i2305,86400
222,2022-06-10,15.0,829.0,835.0,814.0,815.0,1743.0,6386.0,6642.0,DCE.i2305,86400
223,2022-06-13,16.0,815.0,821.0,782.0,794.0,4258.0,6642.0,7770.0,DCE.i2305,86400
224,2022-06-14,17.0,793.5,820.5,770.0,785.5,3635.0,7770.0,8441.0,DCE.i2305,86400
225,2022-06-15,18.0,787.0,795.5,766.0,766.5,3622.0,8441.0,9320.0,DCE.i2305,86400
226,2022-06-16,19.0,770.0,784.0,764.5,766.0,4598.0,9320.0,10360.0,DCE.i2305,86400
227,2022-06-17,20.0,764.0,764.0,722.5,724.0,7432.0,10360.0,12683.0,DCE.i2305,86400
228,2022-06-20,21.0,724.0,730.0,661.0,670.0,12780.0,12683.0,15458.0,DCE.i2305,86400
229,2022-06-21,22.0,673.0,694.0,660.5,672.0,6950.0,15458.0,15763.0,DCE.i2305,86400
230,2022-06-22,23.0,676.0,683.0,646.0,653.0,10887.0,15763.0,18645.0,DCE.i2305,86400
231,2022-06-23,24.0,659.0,690.0,652.5,687.0,13812.0,18645.0,18017.0,DCE.i2305,86400
232,2022-06-24,25.0,693.0,698.5,666.0,676.5,9670.0,18017.0,18944.0,DCE.i2305,86400
233,2022-06-27,26.0,675.5,709.5,671.0,704.0,7232.0,18944.0,18045.0,DCE.i2305,86400
234,2022-06-28,27.0,706.0,725.0,694.0,722.5,7236.0,18045.0,17656.0,DCE.i2305,86400
